,date,open,high,low,close,volume,sma,macd,stochastic_k,stochastic_d,rsi,william_r,trend,trading_signal,trading_decision,p_t_s_lstm
83,1981-06-12,0.582589,0.582589,0.580357,0.02612,6451200.0,0.025724333333333328,0.0006678646399040991,81.36524584065981,83.13660344501534,61.66224184814453,1155.904453540228,down,0.5,,
84,1981-06-15,0.580357,0.580357,0.578125,0.026019,35940800.0,0.025777933333333333,0.0005896272947710433,80.52196279658149,82.18559940223027,60.74411738915003,1156.1101268658233,down,0.5,,
85,1981-06-16,0.569196,0.569196,0.566964,0.025517,9312800.0,0.02580473333333333,0.0004677513000690796,79.25861365376309,81.35403855700254,56.260267484281904,1157.1323843851178,down,0.5,,
86,1981-06-17,0.560268,0.560268,0.558036,0.025115,6893600.0,0.025711,0.0003167490738040582,77.38217159762462,80.38194076366811,52.8931862894584,1157.9510049483779,down,0.5,,
87,1981-06-18,0.558036,0.560268,0.555804,0.025014,5762400.0,0.02561053333333333,0.00020858428125857323,74.90571145459354,79.05424934932303,52.05032664627913,1158.1566782739728,down,0.5,,
88,1981-06-19,0.542411,0.542411,0.540179,0.024311000000000003,6876800.0,0.02545646666666667,4.961343356238434e-05,71.54178747691475,77.18216556866038,46.49647592089797,1159.5882460748974,down,0.5,,
89,1981-06-22,0.522321,0.522321,0.520089,0.023407,2710400.0,0.025242133333333337,-0.00018038560269915613,67.20569797160817,74.60989017637759,40.51048594698105,1152.3387704400593,down,0.16666666666666666,,
90,1981-06-23,0.529018,0.533482,0.529018,0.023809,3757600.0,0.02514166666666667,-0.0003135445070965026,62.39995284917928,71.2177323010388,43.965229767084544,817.1987224879698,down,0.5,,
91,1981-06-24,0.520089,0.520089,0.515625,0.023206,5756800.0,0.025001,-0.00044944704418230236,56.79398874041939,67.04914609923405,40.19455881108399,818.0701475497498,down,0.41073968705547664,,
92,1981-06-25,0.526786,0.529018,0.526786,0.023708,6064800.0,0.02486033333333333,-0.0005247943210342393,51.13066434313056,62.13321318706892,44.46476632640316,767.8120036382892,down,0.5,,
